codemp,prfawb,numawb,oriawb,desawb,OrgPais,DestPais,ZonaOrig,ZonaDest,OficinaOriCap,OficinaDesCap,PosOri,PosDes,tramo,escala,codpro,dsc_producto,codage,posage,NomAge,codshp,posshp,NomShp,dnmvue,numvue,tipvue,FecVue,FchDsp,FchEta,ChWei_BK,GrWei_BK,chwei_awb,grwei_awb,chwei,grwei,HayWhr,GrRev,NetRev,CostoAllot,Interl,Comision,Others_Incomes,DueCarrier,GrossRevSinProrr,SalesRevSinProrr,NetRevSinProrr,matricula,material,Tramos,ChWeiTotAWB,GrWeiTotAWB,TipoServicio,PasaSCL,PasaMIA,PasaLAX,PasaJFK,PasaMEX,PasaGDL,Actualizacion,shsh,prioCpty,FeedbackOp,TipVueRCP,TpotarBk,StsRva,FchWhr,Bode,Piezas,Piezas_BK
45,1,13851935,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,MIA,1,1,119,COMAT,165,DFW,AMERICAN AIRLINES,960884,D44,AMERICAN AIRLINES INC.,,,?,28-10-12 0:00,28-10-12 0:00,28-10-12 0:00,78,78,78.47,78.47,78.47,78.47,1,0,0,0,0,0,0,0,317.81,374.05,374.05,,,TUL-MIA-ASU,78.47,78.47,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Pending,10/30/2012 09:51:00,MIA,3,3
45,1,13851935,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,MIA,ASU,2,2,119,COMAT,165,DFW,AMERICAN AIRLINES,960884,D44,AMERICAN AIRLINES INC.,RF,767,C,03-11-12 0:00,03-11-12 6:51,03-11-12 16:34,78,78,78.47,78.47,78.47,78.47,1,317.81,374.05,0,0,0,0,0,317.81,374.05,374.05,N422LA,B767-300F,TUL-MIA-ASU,78.47,78.47,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Flown,10/30/2012 09:51:00,MIA,3,3
45,1,14045172,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,MIA,1,1,517,OTROS DG,165,DFW,AMERICAN AIRLINES,957579,D44,AMERICAN AIRLINES INC.,,,?,02-11-12 0:00,02-11-12 0:00,02-11-12 0:00,2,2,2.72,2.72,5.46,2.72,1,0,0,0,0,0,0,0,50,105.88,105.88,,,TUL-MIA-ASU,2.72,2.72,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Pending,10/31/2012 14:39:00,MIA,2,1
45,1,14045172,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,MIA,ASU,2,2,517,OTROS DG,165,DFW,AMERICAN AIRLINES,957579,D44,AMERICAN AIRLINES INC.,RF,767,C,03-11-12 0:00,03-11-12 6:51,03-11-12 16:34,2,2,2.72,2.72,5.46,2.72,1,50,105.88,0,0,0,0,0,50,105.88,105.88,N422LA,B767-300F,TUL-MIA-ASU,2.72,2.72,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,0,,,PESO,Flown,10/31/2012 14:39:00,MIA,2,1
0,1,14045183,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,MIA,1,1,517,OTROS DG,165,DFW,AMERICAN AIRLINES,774998,B68,AMERICAN AIRLINES INC.,,,?,01-11-12 0:00,01-11-12 0:00,01-11-12 0:00,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,,,TUL-MIA-ASU,0,0,only Cargo,NO,YES,NO,NO,NO,NO,05-11-12 3:08,1,,,,PESO,Pending,,MIA,1,1
0,1,14045183,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,MIA,ASU,2,2,517,OTROS DG,165,DFW,AMERICAN AIRLINES,774998,B68,AMERICAN AIRLINES INC.,RF,741,C,08-11-12 0:00,08-11-12 7:50,08-11-12 17:40,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,N316LA,B767-300F,TUL-MIA-ASU,0,0,only Cargo,NO,YES,NO,NO,NO,NO,05-11-12 3:08,1,,,,PESO,Booked,,MIA,1,1
45,1,14070803,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,MIA,1,1,119,COMAT,165,DFW,AMERICAN AIRLINES,958891,D44,AMERICAN AIRLINES INC.,,,?,03-11-12 0:00,03-11-12 0:00,03-11-12 0:00,2,1,0.45,0.45,0.93,0.45,1,0,0,0,0,0,0,0,50,106.24,106.24,,,TUL-MIA-ASU,0.45,0.45,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Pending,11-02-12 14:15,MIA,1,1
45,1,14070803,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,MIA,ASU,2,2,119,COMAT,165,DFW,AMERICAN AIRLINES,958891,D44,AMERICAN AIRLINES INC.,RF,767,C,03-11-12 0:00,03-11-12 6:51,03-11-12 16:34,2,1,0.45,0.45,0.93,0.45,1,50,106.24,0,0,0,0,0,50,106.24,106.24,N422LA,B767-300F,TUL-MIA-ASU,0.45,0.45,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Flown,11-02-12 14:15,MIA,1,1
45,1,14109480,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,MIA,1,1,119,COMAT,165,DFW,AMERICAN AIRLINES,938984,D44,AMERICAN AIRLINES INC.,,,?,01-11-12 0:00,01-11-12 0:00,01-11-12 0:00,164,164,163.29,163.29,164,164,1,0,0,0,0,0,0,0,661.34,717.58,717.58,,,TUL-MIA-ASU,163.29,163.29,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Pending,10/30/2012 09:51:00,MIA,6,4
45,1,14109480,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,MIA,ASU,2,2,119,COMAT,165,DFW,AMERICAN AIRLINES,938984,D44,AMERICAN AIRLINES INC.,RF,767,C,03-11-12 0:00,03-11-12 6:51,03-11-12 16:34,164,164,163.29,163.29,164,164,1,661.34,717.58,0,0,0,0,0,661.34,717.58,717.58,N422LA,B767-300F,TUL-MIA-ASU,163.29,163.29,only Cargo,NO,YES,NO,NO,NO,NO,06-11-12 3:36,1,,,,PESO,Flown,10/30/2012 09:51:00,MIA,6,4
