codemp,prfawb,numawb,oriawb,desawb,OrgPais,DestPais,ZonaOrig,ZonaDest,OficinaOriCap,OficinaDesCap,PosOri,PosDes,Tramos,codpro,dsc_producto,posage,NomAge,NomShp,FecVue,ChWei_BK,GrRev,NetRev,GrossRevSinProrr,SalesRevSinProrr,NetRevSinProrr,GrWeiTotAWB
45,1,13851935,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,ASU,TUL-MIA-ASU,119,COMAT,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,28-10-12 0:00,78,0,0,317.81,374.05,374.05,78.47
45,1,13851935,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,ASU,TUL-MIA-ASU,119,COMAT,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,03-11-12 0:00,78,317.81,374.05,317.81,374.05,374.05,78.47
45,1,14045172,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,ASU,TUL-MIA-ASU,517,OTROS DG,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,02-11-12 0:00,2,0,0,50,105.88,105.88,2.72
45,1,14045172,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,ASU,TUL-MIA-ASU,517,OTROS DG,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,03-11-12 0:00,2,50,105.88,50,105.88,105.88,2.72
0,1,14045183,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,ASU,TUL-MIA-ASU,517,OTROS DG,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,01-11-12 0:00,2,0,0,0,0,0,0
0,1,14045183,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,ASU,TUL-MIA-ASU,517,OTROS DG,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,08-11-12 0:00,2,0,0,0,0,0,0
45,1,14070803,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,ASU,TUL-MIA-ASU,119,COMAT,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,03-11-12 0:00,2,0,0,50,106.24,106.24,0.45
45,1,14070803,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,ASU,TUL-MIA-ASU,119,COMAT,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,03-11-12 0:00,2,50,106.24,50,106.24,106.24,0.45
45,1,14109480,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,ASU,TUL-MIA-ASU,119,COMAT,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,01-11-12 0:00,164,0,0,661.34,717.58,717.58,163.29
45,1,14109480,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,ASU,TUL-MIA-ASU,119,COMAT,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,03-11-12 0:00,164,661.34,717.58,661.34,717.58,717.58,163.29
0,1,28387656,DFW,IQQ,USA,Chile,NA_USA_South,SA_Chile,IAH,SCL,DFW,IQQ,DFW-SCL-IQQ,1,CARGA GENERAL,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,06-03-12 0:00,200,0,0,0,0,0,0
0,1,28387656,DFW,IQQ,USA,Chile,NA_USA_South,SA_Chile,IAH,SCL,DFW,IQQ,DFW-SCL-IQQ,1,CARGA GENERAL,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,07-11-12 0:00,200,0,0,0,0,0,0
45,1,28670703,MIA,ASU,USA,Paraguay,NA_USA_Florida,SA_Paraguay,MIA,ASU,MIA,ASU,MIA-ASU,1,CARGA GENERAL,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES,03-11-12 0:00,122,220.45,276.69,220.45,276.69,276.69,54.43
0,1,28944926,MIA,BSB,USA,Brazil,NA_USA_Florida,SA_Brazil_Others,MIA,BSB,MIA,BSB,MIA-GRU-BSB,1,CARGA GENERAL,D44,,MASTERS MEDICAL INC,02-11-12 0:00,5,0,0,0,0,0,0
0,1,28944926,MIA,BSB,USA,Brazil,NA_USA_Florida,SA_Brazil_Others,MIA,BSB,MIA,BSB,MIA-GRU-BSB,1,CARGA GENERAL,D44,,MASTERS MEDICAL INC,03-11-12 0:00,5,0,0,0,0,0,0
0,1,29024225,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,ASU,TUL-MIA-ASU,119,COMAT,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC-TUL,03-11-12 0:00,12,0,0,0,0,0,0
0,1,29024225,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,ASU,TUL-MIA-ASU,119,COMAT,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC-TUL,03-11-12 0:00,12,0,0,0,0,0,0
45,1,29092000,MIA,ASU,USA,Paraguay,NA_USA_Florida,SA_Paraguay,MIA,ASU,MIA,ASU,MIA-ASU,1,CARGA GENERAL,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES,03-11-12 0:00,37,146.97,202.85,146.97,202.85,202.85,36.29
0,1,29099475,DFW,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,DFW,ASU,DFW-MIA-ASU,1,CARGA GENERAL,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,05-11-12 0:00,10,0,0,0,0,0,0
0,1,29099475,DFW,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,DFW,ASU,DFW-MIA-ASU,1,CARGA GENERAL,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,08-11-12 0:00,10,0,0,0,0,0,0
0,1,29263625,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,ASU,TUL-MIA-ASU,1,CARGA GENERAL,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,03-11-12 0:00,7,0,0,0,0,0,0
0,1,29263625,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,IAH,ASU,TUL,ASU,TUL-MIA-ASU,1,CARGA GENERAL,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,08-11-12 0:00,7,0,0,0,0,0,0
0,1,34775834,DEN,FOR,USA,Brazil,NA_USA_West,SA_Brazil_Others,LAX,OTBRA,GRU,REC,GRU-REC,1,CARGA GENERAL,D44,,DSV AIR SEA INC,07-11-12 0:00,845,0,0,0,0,0,0
0,6,32615671,MIA,GUA,USA,Guatemala,NA_USA_Florida,CA_Guatemala,MIA,GUA,MIA,GUA,MIA-GUA,1,CARGA GENERAL,ATL,DELTA AIRLINES INC.,DELTA AIRLINES INC.,05-11-12 0:00,1560,0,0,0,0,0,0
