numawb,oriawb,desawb,OrgPais,DestPais,ZonaOrig,ZonaDest,PosOri,PosDes,Tramos,codpro,dsc_producto,posage,NomAge,NomShp,dnmvue,numvue,tipvue,FecVue,FchDsp,FchEta,ChWei_BK,GrRev,NetRev,TipoServicio,Piezas
13851935,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,TUL,MIA,TUL-MIA-ASU,119,COMAT,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,,,?,28-10-12 0:00,28-10-12 0:00,28-10-12 0:00,78,317.81,374.05,only Cargo,3
14045172,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,TUL,MIA,TUL-MIA-ASU,517,OTROS DG,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,,,?,02-11-12 0:00,02-11-12 0:00,29-10-12 0:00,2,50,105.88,only Cargo,2
14045183,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,TUL,MIA,TUL-MIA-ASU,517,OTROS DG,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,,,?,01-11-12 0:00,01-11-12 0:00,30-10-12 0:00,2,0,0,only Cargo,1
14070803,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,TUL,MIA,TUL-MIA-ASU,119,COMAT,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,,,?,03-11-12 0:00,03-11-12 0:00,31-10-12 0:00,2,50,106.24,only Cargo,1
14109480,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,TUL,MIA,TUL-MIA-ASU,119,COMAT,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,,,?,01-11-12 0:00,01-11-12 0:00,01-11-12 0:00,164,661.34,717.58,only Cargo,6
28387656,DFW,IQQ,USA,Chile,NA_USA_South,SA_Chile,DFW,SCL,DFW-SCL-IQQ,1,CARGA GENERAL,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,,,?,06-03-12 0:00,06-03-12 0:00,02-11-12 0:00,200,0,0,Standard,2
28670703,MIA,ASU,USA,Paraguay,NA_USA_Florida,SA_Paraguay,MIA,ASU,MIA-ASU,1,CARGA GENERAL,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES,RF,767,C,03-11-12 0:00,03-11-12 6:51,03-11-12 0:00,122,220.45,276.69,only Cargo,2
28944926,MIA,BSB,USA,Brazil,NA_USA_Florida,SA_Brazil_Others,MIA,GRU,MIA-GRU-BSB,1,CARGA GENERAL,D44,,MASTERS MEDICAL INC,,,?,02-11-12 0:00,02-11-12 0:00,04-11-12 0:00,5,0,0,Standard,1
29024225,TUL,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,TUL,MIA,TUL-MIA-ASU,119,COMAT,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC-TUL,TXX,1112,E,03-11-12 0:00,03-11-12 12:00,05-11-12 0:00,12,0,0,Standard,3
29092000,MIA,ASU,USA,Paraguay,NA_USA_Florida,SA_Paraguay,MIA,ASU,MIA-ASU,1,CARGA GENERAL,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES,RF,767,C,03-11-12 0:00,03-11-12 6:51,06-11-12 0:00,37,146.97,202.85,only Cargo,4
29099475,DFW,ASU,USA,Paraguay,NA_USA_South,SA_Paraguay,DFW,MIA,DFW-MIA-ASU,1,CARGA GENERAL,DFW,AMERICAN AIRLINES,AMERICAN AIRLINES INC.,TGS,4,E,05-11-12 0:00,05-11-12 12:00,07-11-12 0:00,10,0,0,only Cargo,1
